enviro,observer,task,ori,offset,proportion_correct,date
lab,p1,temporal,horizontal,0.71,0.4,27d9m2021y13h22m
lab,p1,temporal,horizontal,0.71,0.6,27d9m2021y11h49m
lab,p1,temporal,horizontal,0.71,0.7,27d9m2021y12h58m
lab,p1,temporal,horizontal,0.71,0.6,27d9m2021y12h5m
lab,p1,temporal,horizontal,0.71,0.5,27d9m2021y12h21m
lab,p1,temporal,horizontal,1.43,0.6,27d9m2021y13h22m
lab,p1,temporal,horizontal,1.43,0.7,27d9m2021y11h49m
lab,p1,temporal,horizontal,1.43,0.7,27d9m2021y12h58m
lab,p1,temporal,horizontal,1.43,0.9,27d9m2021y12h5m
lab,p1,temporal,horizontal,1.43,0.8,27d9m2021y12h21m
lab,p1,temporal,horizontal,2.14,1.0,27d9m2021y13h22m
lab,p1,temporal,horizontal,2.14,0.9,27d9m2021y11h49m
lab,p1,temporal,horizontal,2.14,1.0,27d9m2021y12h58m
lab,p1,temporal,horizontal,2.14,0.9,27d9m2021y12h5m
lab,p1,temporal,horizontal,2.14,0.9,27d9m2021y12h21m
lab,p1,temporal,horizontal,2.86,0.9,27d9m2021y13h22m
lab,p1,temporal,horizontal,2.86,1.0,27d9m2021y11h49m
lab,p1,temporal,horizontal,2.86,1.0,27d9m2021y12h58m
lab,p1,temporal,horizontal,2.86,0.9,27d9m2021y12h5m
lab,p1,temporal,horizontal,2.86,1.0,27d9m2021y12h21m
lab,p1,temporal,horizontal,3.57,1.0,27d9m2021y13h22m
lab,p1,temporal,horizontal,3.57,1.0,27d9m2021y11h49m
lab,p1,temporal,horizontal,3.57,1.0,27d9m2021y12h58m
lab,p1,temporal,horizontal,3.57,1.0,27d9m2021y12h5m
lab,p1,temporal,horizontal,3.57,1.0,27d9m2021y12h21m
lab,p1,temporal,horizontal,4.29,1.0,27d9m2021y13h22m
lab,p1,temporal,horizontal,4.29,1.0,27d9m2021y11h49m
lab,p1,temporal,horizontal,4.29,1.0,27d9m2021y12h58m
lab,p1,temporal,horizontal,4.29,1.0,27d9m2021y12h5m
lab,p1,temporal,horizontal,4.29,0.9,27d9m2021y12h21m
lab,p1,temporal,horizontal,5.0,1.0,27d9m2021y13h22m
lab,p1,temporal,horizontal,5.0,1.0,27d9m2021y11h49m
lab,p1,temporal,horizontal,5.0,1.0,27d9m2021y12h58m
lab,p1,temporal,horizontal,5.0,1.0,27d9m2021y12h5m
lab,p1,temporal,horizontal,5.0,1.0,27d9m2021y12h21m
lab,p1,temporal,vertical,0.71,0.5,27d9m2021y12h29m
lab,p1,temporal,vertical,0.71,0.5,27d9m2021y13h11m
lab,p1,temporal,vertical,0.71,0.5,27d9m2021y11h54m
lab,p1,temporal,vertical,0.71,0.3,27d9m2021y12h44m
lab,p1,temporal,vertical,0.71,0.5,27d9m2021y11h38m
lab,p1,temporal,vertical,1.43,0.5,27d9m2021y12h29m
lab,p1,temporal,vertical,1.43,0.6,27d9m2021y13h11m
lab,p1,temporal,vertical,1.43,0.8,27d9m2021y11h54m
lab,p1,temporal,vertical,1.43,0.6,27d9m2021y12h44m
lab,p1,temporal,vertical,1.43,0.5,27d9m2021y11h38m
lab,p1,temporal,vertical,2.14,0.6,27d9m2021y12h29m
lab,p1,temporal,vertical,2.14,0.8,27d9m2021y13h11m
lab,p1,temporal,vertical,2.14,1.0,27d9m2021y11h54m
lab,p1,temporal,vertical,2.14,1.0,27d9m2021y12h44m
lab,p1,temporal,vertical,2.14,0.8,27d9m2021y11h38m
lab,p1,temporal,vertical,2.86,0.8,27d9m2021y12h29m
lab,p1,temporal,vertical,2.86,0.9,27d9m2021y13h11m
lab,p1,temporal,vertical,2.86,1.0,27d9m2021y11h54m
lab,p1,temporal,vertical,2.86,0.9,27d9m2021y12h44m
lab,p1,temporal,vertical,2.86,1.0,27d9m2021y11h38m
lab,p1,temporal,vertical,3.57,1.0,27d9m2021y12h29m
lab,p1,temporal,vertical,3.57,1.0,27d9m2021y13h11m
lab,p1,temporal,vertical,3.57,0.9,27d9m2021y11h54m
lab,p1,temporal,vertical,3.57,0.9,27d9m2021y12h44m
lab,p1,temporal,vertical,3.57,1.0,27d9m2021y11h38m
lab,p1,temporal,vertical,4.29,1.0,27d9m2021y12h29m
lab,p1,temporal,vertical,4.29,1.0,27d9m2021y13h11m
lab,p1,temporal,vertical,4.29,1.0,27d9m2021y11h54m
lab,p1,temporal,vertical,4.29,1.0,27d9m2021y12h44m
lab,p1,temporal,vertical,4.29,1.0,27d9m2021y11h38m
lab,p1,temporal,vertical,5.0,1.0,27d9m2021y12h29m
lab,p1,temporal,vertical,5.0,1.0,27d9m2021y13h11m
lab,p1,temporal,vertical,5.0,1.0,27d9m2021y11h54m
lab,p1,temporal,vertical,5.0,1.0,27d9m2021y12h44m
lab,p1,temporal,vertical,5.0,1.0,27d9m2021y11h38m
lab,p1,temporal,minus45,10.71,0.8,27d9m2021y12h52m
lab,p1,temporal,minus45,10.71,1.0,27d9m2021y12h2m
lab,p1,temporal,minus45,10.71,1.0,27d9m2021y11h32m
lab,p1,temporal,minus45,10.71,1.0,27d9m2021y13h5m
lab,p1,temporal,minus45,10.71,0.9,27d9m2021y12h35m
lab,p1,temporal,minus45,14.29,1.0,27d9m2021y12h52m
lab,p1,temporal,minus45,14.29,1.0,27d9m2021y12h2m
lab,p1,temporal,minus45,14.29,1.0,27d9m2021y11h32m
lab,p1,temporal,minus45,14.29,1.0,27d9m2021y13h5m
lab,p1,temporal,minus45,14.29,1.0,27d9m2021y12h35m
lab,p1,temporal,minus45,17.86,1.0,27d9m2021y12h52m
lab,p1,temporal,minus45,17.86,1.0,27d9m2021y12h2m
lab,p1,temporal,minus45,17.86,0.9,27d9m2021y11h32m
lab,p1,temporal,minus45,17.86,1.0,27d9m2021y13h5m
lab,p1,temporal,minus45,17.86,1.0,27d9m2021y12h35m
lab,p1,temporal,minus45,21.43,1.0,27d9m2021y12h52m
lab,p1,temporal,minus45,21.43,1.0,27d9m2021y12h2m
lab,p1,temporal,minus45,21.43,1.0,27d9m2021y11h32m
lab,p1,temporal,minus45,21.43,1.0,27d9m2021y13h5m
lab,p1,temporal,minus45,21.43,1.0,27d9m2021y12h35m
lab,p1,temporal,minus45,25.0,1.0,27d9m2021y12h52m
lab,p1,temporal,minus45,25.0,1.0,27d9m2021y12h2m
lab,p1,temporal,minus45,25.0,1.0,27d9m2021y11h32m
lab,p1,temporal,minus45,25.0,1.0,27d9m2021y13h5m
lab,p1,temporal,minus45,25.0,1.0,27d9m2021y12h35m
lab,p1,temporal,minus45,3.57,0.7,27d9m2021y12h52m
lab,p1,temporal,minus45,3.57,0.5,27d9m2021y12h2m
lab,p1,temporal,minus45,3.57,0.4,27d9m2021y11h32m
lab,p1,temporal,minus45,3.57,0.7,27d9m2021y13h5m
lab,p1,temporal,minus45,3.57,0.7,27d9m2021y12h35m
lab,p1,temporal,minus45,7.14,0.6,27d9m2021y12h52m
lab,p1,temporal,minus45,7.14,0.8,27d9m2021y12h2m
lab,p1,temporal,minus45,7.14,0.7,27d9m2021y11h32m
lab,p1,temporal,minus45,7.14,0.9,27d9m2021y13h5m
lab,p1,temporal,minus45,7.14,0.6,27d9m2021y12h35m
lab,p1,temporal,plus45,10.71,1.0,27d9m2021y12h41m
lab,p1,temporal,plus45,10.71,0.9,27d9m2021y13h16m
lab,p1,temporal,plus45,10.71,1.0,27d9m2021y12h18m
lab,p1,temporal,plus45,10.71,1.0,27d9m2021y12h13m
lab,p1,temporal,plus45,10.71,0.9,27d9m2021y11h43m
lab,p1,temporal,plus45,14.29,1.0,27d9m2021y12h41m
lab,p1,temporal,plus45,14.29,1.0,27d9m2021y13h16m
lab,p1,temporal,plus45,14.29,1.0,27d9m2021y12h18m
lab,p1,temporal,plus45,14.29,1.0,27d9m2021y12h13m
lab,p1,temporal,plus45,14.29,1.0,27d9m2021y11h43m
lab,p1,temporal,plus45,17.86,1.0,27d9m2021y12h41m
lab,p1,temporal,plus45,17.86,1.0,27d9m2021y13h16m
lab,p1,temporal,plus45,17.86,0.9,27d9m2021y12h18m
lab,p1,temporal,plus45,17.86,1.0,27d9m2021y12h13m
lab,p1,temporal,plus45,17.86,1.0,27d9m2021y11h43m
lab,p1,temporal,plus45,21.43,1.0,27d9m2021y12h41m
lab,p1,temporal,plus45,21.43,1.0,27d9m2021y13h16m
lab,p1,temporal,plus45,21.43,1.0,27d9m2021y12h18m
lab,p1,temporal,plus45,21.43,1.0,27d9m2021y12h13m
lab,p1,temporal,plus45,21.43,1.0,27d9m2021y11h43m
lab,p1,temporal,plus45,25.0,1.0,27d9m2021y12h41m
