enviro,observer,task,ori,n_runs,threshold,t_sem,slope,s_sem
lab,p1,temporal,horizontal,5,1.4564,0.0171,0.3715,0.0157
lab,p1,temporal,vertical,5,1.9372,0.0376,0.3657,0.033
lab,p1,temporal,minus45,5,7.2499,0.1184,2.0331,0.1068
lab,p1,temporal,plus45,5,5.9826,0.0722,1.9125,0.063
lab,p1,spatial,horizontal,5,1.6975,0.0588,0.6258,0.0528
lab,p1,spatial,vertical,5,2.0949,0.0408,0.7432,0.0367
lab,p1,spatial,minus45,5,11.4944,0.2093,2.09,0.1848
lab,p1,spatial,plus45,5,12.4404,0.2344,4.9229,0.2211
lab,p10,temporal,horizontal,5,1.6068,0.0984,0.6157,0.0886
lab,p10,temporal,vertical,5,2.1517,0.0879,0.5376,0.0777
lab,p10,temporal,minus45,5,11.8752,0.2252,1.8153,0.1939
lab,p10,temporal,plus45,6,10.1982,0.2402,3.2119,0.2138
lab,p10,spatial,horizontal,5,2.9866,0.1647,1.0025,0.158
lab,p10,spatial,vertical,5,3.1948,0.0629,0.9199,0.0597
lab,p10,spatial,minus45,6,23.1196,1.2785,10.0,1.4323
lab,p10,spatial,plus45,5,15.5917,0.4873,3.4795,0.4386
lab,p11,temporal,horizontal,6,1.7502,0.0479,0.5276,0.0425
lab,p11,temporal,vertical,5,1.8446,0.0543,0.5877,0.0483
lab,p11,temporal,minus45,5,9.4533,0.3157,3.9844,0.2894
lab,p11,temporal,plus45,5,14.0415,0.5628,4.1895,0.5141
lab,p11,spatial,horizontal,5,1.9355,0.073,0.5154,0.0646
lab,p11,spatial,vertical,5,2.5074,0.0838,0.6533,0.0742
lab,p11,spatial,minus45,5,19.861,0.4421,5.2798,0.4648
lab,p11,spatial,plus45,5,24.236,0.7736,4.9428,0.7958
lab,p12,temporal,horizontal,5,1.9687,0.094,0.7578,0.0852
lab,p12,temporal,vertical,6,2.3067,0.0846,1.3389,0.0903
lab,p12,temporal,minus45,5,11.8206,0.6375,6.7803,0.6849
lab,p12,temporal,plus45,5,11.4161,0.46,4.9878,0.4364
lab,p12,spatial,horizontal,5,2.2322,0.0617,0.7791,0.0556
lab,p12,spatial,vertical,5,2.9713,0.0844,0.8216,0.0773
lab,p12,spatial,minus45,5,16.6061,0.5855,4.2597,0.5513
lab,p12,spatial,plus45,5,15.9539,0.3416,6.1267,0.3554
lab,p13,temporal,horizontal,5,1.3842,0.119,0.4179,0.1068
lab,p13,temporal,vertical,5,2.1687,0.0714,1.0406,0.0688
lab,p13,temporal,minus45,5,16.5452,0.5588,4.4495,0.5308
lab,p13,temporal,plus45,5,18.0582,0.5422,7.2132,0.6098
lab,p13,spatial,horizontal,5,2.9346,0.0954,0.8448,0.0876
lab,p13,spatial,vertical,5,2.8068,0.1006,0.5069,0.0888
lab,p13,spatial,minus45,5,22.9114,0.914,5.5969,0.9666
lab,p13,spatial,plus45,5,20.0224,0.779,5.4647,0.8255
lab,p14,temporal,horizontal,5,1.0023,0.0226,0.3377,0.0187
lab,p14,temporal,vertical,5,1.8755,0.0936,0.9374,0.0888
lab,p14,temporal,minus45,5,7.0504,0.0723,1.7929,0.0672
lab,p14,temporal,plus45,5,3.0782,0.2855,1.2193,0.3157
lab,p14,spatial,horizontal,5,1.5315,0.0353,0.6648,0.0322
lab,p14,spatial,vertical,5,2.8297,0.087,0.683,0.0776
lab,p14,spatial,minus45,5,12.204,0.4033,3.922,0.3634
lab,p14,spatial,plus45,5,10.9658,0.4343,3.3943,0.3868
lab,p15,temporal,horizontal,5,1.0364,0.0637,0.5473,0.0596
lab,p15,temporal,vertical,5,1.623,0.0535,0.7812,0.0508
lab,p15,temporal,minus45,7,10.3606,0.4788,4.4839,0.4451
lab,p15,temporal,plus45,4,9.1526,0.4623,4.6318,0.4388
lab,p15,spatial,horizontal,6,2.1502,0.0871,0.9345,0.0871
lab,p15,spatial,vertical,5,2.2234,0.0689,0.4254,0.0607
lab,p15,spatial,minus45,5,19.3033,0.2572,6.558,0.2814
lab,p15,spatial,plus45,4,16.0716,0.283,3.9573,0.2607
lab,p16,temporal,horizontal,5,0.8596,0.03,0.1797,0.0187
lab,p16,temporal,vertical,5,0.7479,0.0182,0.2991,0.016
lab,p16,temporal,minus45,5,4.4725,0.1936,1.7674,0.172
lab,p16,temporal,plus45,5,4.8262,0.2956,2.6307,0.2736
lab,p16,spatial,horizontal,5,1.6702,0.0667,0.6641,0.0609
lab,p16,spatial,vertical,5,1.5811,0.0453,0.6469,0.0414
lab,p16,spatial,minus45,5,12.9319,0.2861,2.2953,0.2504
lab,p16,spatial,plus45,5,13.9383,0.3529,4.0941,0.3209
lab,p17,temporal,horizontal,5,1.2273,0.0259,0.228,0.021
lab,p17,temporal,vertical,4,0.8523,0.0518,0.4142,0.047
lab,p17,temporal,minus45,5,10.5819,0.4128,5.4581,0.4053
lab,p17,temporal,plus45,4,11.2442,0.6142,5.4015,0.5983
lab,p17,spatial,horizontal,5,2.1468,0.0446,0.5426,0.0395
lab,p17,spatial,vertical,5,1.8461,0.0452,0.4851,0.0399
lab,p17,spatial,minus45,5,20.9821,0.8832,7.6505,0.9876
lab,p17,spatial,plus45,4,20.7892,0.5451,5.2156,0.5788
lab,p18,temporal,horizontal,6,1.0477,0.033,0.3521,0.0275
lab,p18,temporal,vertical,5,0.9591,0.0293,0.3851,0.0256
