Type,title,ICC,F,df1,df2,pval,CI95%
ICC2,temporal,0.918,22.852,17,17,0.0,[0.8  0.97]
ICC2,spatial,0.878,14.613,17,17,0.0,[0.7  0.95]
ICC2,horizontal,0.799,8.528,17,17,0.0,[0.54 0.92]
ICC2,vertical,0.827,10.124,17,17,0.0,[0.6  0.93]
ICC2,minus45,0.882,15.899,17,17,0.0,[0.72 0.95]
ICC2,plus45,0.903,19.067,17,17,0.0,[0.76 0.96]
ICC2,temporal_horizontal,0.745,6.615,17,17,0.0,[0.44 0.9 ]
ICC2,temporal_vertical,0.656,5.095,17,17,0.001,[0.3  0.85]
ICC2,temporal_minus45,0.862,13.176,17,17,0.0,[0.67 0.95]
ICC2,temporal_plus45,0.882,15.104,17,17,0.0,[0.71 0.95]
ICC2,spatial_horizontal,0.556,3.391,17,17,0.008,[0.13 0.81]
ICC2,spatial_vertical,0.776,8.01,17,17,0.0,[0.5  0.91]
ICC2,spatial_minus45,0.795,8.598,17,17,0.0,[0.54 0.92]
ICC2,spatial_plus45,0.811,9.571,17,17,0.0,[0.57 0.92]
