observer,task,ori,lab,web,lab_nruns,web_nruns,lab - web,(lab + web) / 2,log(lab) - log(web),(log[lab] + log[web]) / 2 ,threshold ratio (lab / web)
p0,temporal,horizontal,1.149,1.053,5,5,0.096,1.101,0.087,0.096,1.091
p0,temporal,vertical,1.082,0.928,5,5,0.154,1.005,0.153,0.002,1.165
p0,temporal,minus45,7.161,6.5,5,5,0.661,6.831,0.097,1.92,1.102
p0,temporal,plus45,6.939,8.113,5,5,-1.174,7.526,-0.156,2.015,0.855
p0,spatial,horizontal,1.002,1.745,5,5,-0.743,1.373,-0.555,0.279,0.574
p0,spatial,vertical,1.939,2.346,5,6,-0.407,2.143,-0.191,0.758,0.826
p0,spatial,minus45,8.816,15.026,5,5,-6.21,11.921,-0.533,2.443,0.587
p0,spatial,plus45,10.48,13.341,5,5,-2.861,11.911,-0.241,2.47,0.786
p1,temporal,horizontal,1.384,1.794,5,5,-0.41,1.589,-0.26,0.455,0.771
p1,temporal,vertical,2.169,2.16,5,5,0.009,2.164,0.004,0.772,1.004
p1,temporal,minus45,16.545,13.831,5,5,2.714,15.188,0.179,2.717,1.196
p1,temporal,plus45,18.058,16.026,5,5,2.032,17.042,0.119,2.834,1.127
p1,spatial,horizontal,2.935,2.482,5,5,0.453,2.708,0.168,0.993,1.182
p1,spatial,vertical,2.807,2.724,5,5,0.083,2.766,0.03,1.017,1.03
p1,spatial,minus45,22.911,22.432,5,6,0.48,22.672,0.021,3.121,1.021
p1,spatial,plus45,20.022,20.101,5,5,-0.079,20.062,-0.004,2.999,0.996
p2,temporal,horizontal,1.227,1.736,5,4,-0.508,1.481,-0.347,0.378,0.707
p2,temporal,vertical,0.852,1.572,4,4,-0.72,1.212,-0.612,0.146,0.542
p2,temporal,minus45,10.582,11.049,5,9,-0.467,10.815,-0.043,2.381,0.958
p2,temporal,plus45,11.244,14.136,4,6,-2.892,12.69,-0.229,2.534,0.795
p2,spatial,horizontal,2.147,1.378,5,5,0.769,1.762,0.444,0.542,1.558
p2,spatial,vertical,1.846,1.701,5,5,0.145,1.774,0.082,0.572,1.085
p2,spatial,minus45,20.982,21.99,5,4,-1.008,21.486,-0.047,3.067,0.954
p2,spatial,plus45,20.789,24.055,4,5,-3.266,22.422,-0.146,3.107,0.864
p3,temporal,horizontal,1.607,2.09,5,5,-0.484,1.849,-0.263,0.606,0.769
p3,temporal,vertical,2.152,2.268,5,6,-0.116,2.21,-0.052,0.792,0.949
p3,temporal,minus45,11.875,12.956,5,5,-1.081,12.416,-0.087,2.518,0.917
p3,temporal,plus45,10.198,13.413,6,5,-3.215,11.806,-0.274,2.459,0.76
p3,spatial,horizontal,2.987,2.237,5,5,0.75,2.612,0.289,0.95,1.335
p3,spatial,vertical,3.195,2.922,5,5,0.273,3.058,0.089,1.117,1.093
